WELLNAME=Testwell
STDEP  =  190.0000  
ENDEP  =  248.5000  
LEVEL  =  0.1250  
CURNAMES  CAL  DT  GR  LLD  LLS  MSFL  NPHI  RHOB  SP

#DEPTH    CAL      DT        GR        LLD      LLS      MSFL    NPHI    RHOB    SP    
217.8750  15.7570  89.3980  78.1560  10.7080  4.6180  5.7010  0.2310  2.4000  -10.9570  
218.0000  15.9120  84.9160  81.6370  10.7850  5.0110  6.6120  0.2270  2.4530  -11.4120  
218.1250  16.0790  81.3280  83.6880  9.4660  5.4500  7.5580  0.2250  2.5110  -11.8220  
218.2500  16.2800  83.5160  80.9400  11.2470  5.7700  6.5640  0.2270  2.5440  -12.5060  
218.3750  16.4140  85.8600  80.0790  12.4130  6.0410  6.3730  0.2360  2.5590  -13.5040  
218.5000  16.4750  87.6750  81.0800  11.9000  6.2590  5.9240  0.2450  2.5600  -14.0740  
218.6250  16.4880  88.9170  82.6800  11.1650  6.3950  5.4040  0.2520  2.5530  -14.2570  
218.7500  16.4990  89.5970  83.3010  13.8720  6.4140  5.6010  0.2620  2.5470  -15.1450  
218.8750  16.4740  90.6730  80.9950  12.4930  6.3770  5.4710  0.2630  2.5330  -15.7600  
219.0000  16.4790  91.2080  80.4380  11.3720  6.2980  4.8440  0.2670  2.5180  -15.9170  
219.1250  16.4770  91.5880  80.0100  12.0930  6.2190  5.0520  0.2690  2.5090  -16.3330  
219.2500  16.4690  92.1390  80.2200  12.8640  6.1660  5.1020  0.2680  2.5060  -16.9040  
219.3750  16.4690  92.8670  81.6180  11.9210  6.1560  5.2360  0.2670  2.5050  -17.2420  
219.5000  16.4690  92.8160  81.9770  12.3040  6.1940  5.6610  0.2610  2.5020  -17.1910  
219.6250  16.4690  92.0930  81.4240  11.6810  6.1900  5.7200  0.2480  2.4950  -17.5710  
219.7500  16.4960  91.0670  79.9640  11.7750  6.2360  5.7120  0.2400  2.4930  -17.6140  
219.8750  16.5030  90.6530  79.8790  12.7860  6.2760  5.6490  0.2420  2.4930  -17.7920  
220.0000  16.4840  90.7470  81.6190  13.7450  6.3050  5.1020  0.2530  2.4950  -18.1540  
220.1250  16.4840  90.3580  83.6390  13.1160  6.3650  5.0890  0.2650  2.5020  -18.2500  
220.2500  16.4710  91.1270  85.9980  14.5910  6.3630  5.1210  0.2700  2.5080  -18.2500  
220.3750  16.4690  90.6040  86.3750  12.5830  6.5670  5.2720  0.2700  2.5130  -18.5080  
220.5000  16.4450  87.7990  87.1710  13.3690  6.7190  6.0060  0.2620  2.5220  -18.9750  
220.6250  16.4270  85.6010  88.4110  15.0170  6.7570  8.8380  0.2450  2.5360  -19.1480  
220.7500  16.4380  86.0910  89.3190  14.2210  6.7030  9.3110  0.2250  2.5530  -18.8870  
220.8750  16.4380  86.2440  89.0110  10.8430  6.6140  5.2840  0.2160  2.5620  -19.2970  
221.0000  16.4620  87.7310  90.1850  12.1490  6.4780  5.3090  0.2290  2.5570  -19.5590  
221.1250  16.5350  90.2610  90.8430  12.3760  6.3910  5.4670  0.2530  2.5500  -19.7010  
221.2500  16.5510  90.6570  89.6910  11.6690  6.4180  6.0210  0.2660  2.5480  -19.6360  
221.3750  16.5200  88.7490  86.9040  11.3500  6.5480  7.1460  0.2640  2.5500  -19.5470  
221.5000  16.5360  86.9060  83.8140  12.8180  6.7150  7.3150  0.2550  2.5550  -19.7480  
221.6250  16.5870  87.2650  81.6610  12.9390  6.8360  7.3110  0.2430  2.5470  -19.9010  
221.7500  16.5940  88.0240  83.4200  12.7150  6.8370  5.7830  0.2410  2.5370  -19.6550  
221.8750  16.5940  88.6450  84.4820  12.8410  6.7570  5.9410  0.2540  2.5320  -19.4470  
222.0000  16.5990  89.1350  84.9070  12.8450  6.6790  6.1140  0.2650  2.5310  -19.6180  
222.1250  16.6090  89.1560  84.9900  12.6000  6.6630  6.3370  0.2620  2.5340  -20.0350  
222.2500  16.6090  87.5160  83.4520  13.1270  6.7030  6.9010  0.2510  2.5380  -19.7530  
222.3750  16.6090  86.3830  82.3710  13.7960  6.7970  7.4350  0.2190  2.5450  -19.2930  
222.5000  16.5900  85.5720  81.0970  12.6390  6.9480  8.1000  0.2030  2.5550  -19.7410  
222.6250  16.5990  84.1750  80.1890  11.6660  7.1000  6.7330  0.1970  2.5620  -20.1470  
222.7500  16.6160  83.1480  79.5570  12.5050  7.2290  7.9320  0.1950  2.5650  -20.2160  
222.8750  16.5970  83.6890  78.8580  15.5000  7.3440  8.1680  0.1950  2.5650  -20.1480  
223.0000  16.6220  82.0480  78.7040  16.1840  7.4760  7.7890  0.1960  2.5650  -20.3530  
223.1250  16.6250  82.4250  78.9630  13.1950  7.5660  9.2280  0.1980  2.5610  -20.2830  
223.2500  16.6340  84.8750  81.0010  14.9200  7.4980  7.9330  0.2100  2.5550  -20.2850  
223.3750  16.6350  87.4590  83.5670  15.3180  7.3530  6.5560  0.2270  2.5500  -20.2190  
223.5000  16.6280  89.5870  85.7720  12.0210  7.1730  5.8830  0.2450  2.5450  -19.9900  
223.6250  16.6410  93.0840  87.9500  11.5380  6.9010  5.4530  0.2630  2.5320  -19.6900  
223.7500  16.6410  94.3140  88.6680  16.3780  6.7260  5.3770  0.2630  2.5230  -19.8440  
223.8750  16.6410  94.6850  86.3160  13.9290  6.6420  5.3850  0.2630  2.5130  -19.7520  
224.0000  16.6330  94.5720  84.2870  11.7430  6.5660  5.3780  0.2630  2.5120  -19.4800  
224.1250  16.6250  94.7260  84.0720  12.2230  6.4440  5.2710  0.2680  2.5170  -19.3420  
224.2500  16.6230  95.6560  86.2020  14.0600  6.2640  5.2510  0.2800  2.5220  -19.5840  
224.3750  16.6100  96.3230  91.6360  11.8580  6.1140  4.9040  0.2940  2.5210  -19.7380  
224.5000  16.6210  97.0360  91.4480  9.6750  5.9190  4.7700  0.3020  2.5130  -19.4190  
224.6250  16.6250  97.6820  89.7740  10.7450  5.7830  4.9910  0.3100  2.5080  -19.2400  
224.7500  16.6000  97.5790  87.6230  11.0680  5.7040  4.9800  0.3120  2.5040  -19.2370  
224.8750  16.5630  96.7480  85.8110  9.8010  5.7040  5.1160  0.3070  2.5010  -19.1770  
225.0000  16.5590  95.9850  85.1110  10.5320  5.8370  5.1080  0.3030  2.5010  -18.6850  
225.1250  16.4820  94.2420  84.8040  13.2800  5.9250  5.2460  0.2820  2.5030  -18.6340  
